iso,Country,Region,Superregion
AFG,Afghanistan,South Asia,South Asia
AGO,Angola,Central Africa,Sub-Saharan Africa
ALB,Albania,Central Europe,Central and Eastern Europe
AND,Andorra,South Western Europe,High-income Western countries
ARE,United Arab Emirates,Middle East and North Africa,"Central Asia, Middle East and North Africa"
ARG,Argentina,Southern and Tropical Latin America,Latin America and Caribbean
ARM,Armenia,Central Asia,"Central Asia, Middle East and North Africa"
ASM,American Samoa,Oceania,Oceania
ATG,Antigua and Barbuda,Caribbean,Latin America and Caribbean
AUS,Australia,High-income English-speaking countries,High-income Western countries
AUT,Austria,North Western Europe,High-income Western countries
AZE,Azerbaijan,Central Asia,"Central Asia, Middle East and North Africa"
BDI,Burundi,East Africa,Sub-Saharan Africa
BEL,Belgium,North Western Europe,High-income Western countries
BEN,Benin,West Africa,Sub-Saharan Africa
BFA,Burkina Faso,West Africa,Sub-Saharan Africa
BGD,Bangladesh,South Asia,South Asia
BGR,Bulgaria,Central Europe,Central and Eastern Europe
BHR,Bahrain,Middle East and North Africa,"Central Asia, Middle East and North Africa"
BHS,Bahamas,Caribbean,Latin America and Caribbean
BIH,Bosnia and Herzegovina,Central Europe,Central and Eastern Europe
BLR,Belarus,Eastern Europe,Central and Eastern Europe
BLZ,Belize,Caribbean,Latin America and Caribbean
BMU,Bermuda,Caribbean,Latin America and Caribbean
BOL,Bolivia,Andean Latin America,Latin America and Caribbean
BRA,Brazil,Southern and Tropical Latin America,Latin America and Caribbean
BRB,Barbados,Caribbean,Latin America and Caribbean
BRN,Brunei Darussalam,South East Asia,East and South East Asia
BTN,Bhutan,South Asia,South Asia
BWA,Botswana,Southern Africa,Sub-Saharan Africa
CAF,Central African Republic,Central Africa,Sub-Saharan Africa
CAN,Canada,High-income English-speaking countries,High-income Western countries
CHE,Switzerland,North Western Europe,High-income Western countries
CHL,Chile,Southern and Tropical Latin America,Latin America and Caribbean
CHN,China,East Asia,East and South East Asia
CIV,Cote d'Ivoire,West Africa,Sub-Saharan Africa
CMR,Cameroon,West Africa,Sub-Saharan Africa
COD,DR Congo,Central Africa,Sub-Saharan Africa
